Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
50.3.60,dessin,,,SAINT TENANT UN LIVRE,GIRAUD André Marie Florentin (attribué),"Le Puy-en-Velay, 1781 ; Le Puy-en-Velay, 1864",,2e quart 19e siècle,1846 vers,12e siècle,,,,,18.5 H ; 9 L,aquarelle;papier (blanc),,,"figure (saint, debout, de face, livre)",,,propriété de la commune ; don ; Le Puy-en-Velay ; musée Crozatier,1950,,,00000055604,Le Puy-en-Velay;musée Crozatier,M0116,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France (Attribué) ; France (d'après),,Le Puy-en-Velay,"45.043141,3.883955"
995.1.139.1 A ; BV3.32.1,estampe;ethnologie,carte réclame,chromo,PIERROT GRAVEUR (titre inscrit),Baster & Vieillemard (éditeur),,Paris (lieu d'édition),4e quart 19e siècle,"1886 entre, 1895 et",,,publicité (chocolat : Guérin-Boutron),,,"H. 6.6, l. 10.7","chromolithographie, emploi d'or, carton",,,"scène (Pierrot, graveur, signe alphabétique, arbre, Polichinelle, bâton)",,,propriété de l'Etat ; achat ; musée national des Arts et Traditions Populaires,1995,,,5002E003606,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-01-18,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
995.1.140.8 A ; BV2.17.8,estampe;médiéval;ethnologie,carte réclame,chromo,"8. - Etendard Royal. / Charles VII, 1429 (titre inscrit)",Valiquet ; Baster & Vieillemard (éditeur),,Paris (lieu d'édition),4e quart 19e siècle;1er quart 20e siècle,1878 entre ; 1914 et,,,publicité (chocolat : Guérin-Boutron),,,"H. 10.8, l. 6.8","chromolithographie, carton",,,"scène (étendard, époque médiévale, guerre de siège, soldat, armure, arme défensive, bouclier, arme offensive, canon, boulet, flèche)",,,propriété de l'Etat ; achat ; musée national des Arts et Traditions Populaires,1995,,,5002E003618,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-01-18,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
892 4 39,dessin,,,LE TIBRE,PAPETY Dominique,"Marseille, 1815 ; Marseille, 1849",Italie (lieu d'exécution),2e quart 19e siècle,1838,,,,,,28 H ; 43.8 L,mine de plomb;lavis brun;encre bleue;papier (gris),,,"paysage (berge, maison, barque, Tibre, Italie, clocher)",,,propriété de la commune ; legs ; Montpellier ; musée Fabre,1892,,,000DE021705,Montpellier;musée Fabre,M0476,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Montpellier,"43.611024,3.875521"
03.188,dessin,,,DANSE MACABRE DE LA CHAISE-DIEU,GUEDY Henri,,,4e quart 19e siècle,1900 vers,15e siècle,,,,,45 H ; 150 L,aquarelle;papier (blanc),,,scène (danse macabre),,,propriété de la commune ; achat ; Le Puy-en-Velay ; musée Crozatier,1901,,,000DE023141,Le Puy-en-Velay;musée Crozatier,M0116,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; France (Ecole de d'après),,Le Puy-en-Velay,"45.043141,3.883955"
876 3 127,dessin,,,LA TENTATION,PAPETY Dominique,"Marseille, 1815 ; Marseille, 1849",,2e quart 19e siècle,1849 avant,,,,,,6.8 H ; 12.1 L,crayon noir;aquarelle;papier (blanc),,,"groupe de figures (allégorie : tentation, femme, assis, nu, homme, couché sur le dos, lien)",,,propriété de la commune ; legs ; Montpellier ; musée Fabre,1876,,,000DE021727,Montpellier;musée Fabre,M0476,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Montpellier,"43.611024,3.875521"
44.26.1,dessin;marine,,,MARINE,"APPIAN Jacques Barthélémy, APPIAN Adolphe (dit)","Lyon, 1819 ; Lyon, 1898",,4e quart 19e siècle,1890 vers,,,,,,21 H ; 31.5 L,fusain;craie;papier (beige),,,"paysage (mer, bateau à voiles, clair de lune)",,,propriété de la commune ; don (?) ; Le Puy-en-Velay ; musée Crozatier,1944 avant,,,000DE023312,Le Puy-en-Velay;musée Crozatier,M0116,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Le Puy-en-Velay,"45.043141,3.883955"
870 160 V,dessin,double face,,JOHN PRADIER,PRADIER Jean Jacques ; PRADIER James (dit),"Genève, 1792 ; Bougival, 1852",Italie : Rome (lieu d'exécution),1er quart 19e siècle;3e quart 19e siècle,1843,,,,,,33.9 H ; 25.3 L,mine de plomb;papier (blanc),,,"portrait (Pradier John, de profil, tête, garçon)",,,propriété de la commune ; legs ; Montpellier ; musée Fabre,1870,,,000DE021749,Montpellier;musée Fabre,M0476,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Montpellier,"43.611024,3.875521"
899 3 8,dessin,,,UN EVEQUE PORTANT LA CROSSE ET LE LIVRE,PUVIS DE CHAVANNES Pierre,"Lyon, 1824 ; Paris, 1898",,2e moitié 19e siècle,1898 avant,,,,,,34.6 H ; 19.5 L,crayon noir;papier (blanc),,,"figure (évêque, en pied, de trois-quarts, crosse, livre)",,,propriété de la commune ; don ; Montpellier ; musée Fabre,1898,,,000DE021759,Montpellier;musée Fabre,M0476,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Montpellier,"43.611024,3.875521"
76.3.1,dessin,,,FLECHE DE L'EGLISE SAINT-MICHEL A BORDEAUX,GIRE Jules (?) ; GIRE Joseph (?),"Le Puy-en-Velay, 1850 ; Le Puy-en-Velay, 1932 ; Yssingeaux, 1872 ; ?,1933",,1er quart 20e siècle,1912,,,,,,48 H1 ; 31.5 L1,aquarelle;papier (blanc),,,"vue d'architecture (ville, Bordeaux, église, rue, personnage)",,,propriété de la commune ; don ; Le Puy-en-Velay ; musée Crozatier,1976,,,000DE023400,Le Puy-en-Velay;musée Crozatier,M0116,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Le Puy-en-Velay,"45.043141,3.883955"
322 A,dessin,,,"FRISE AVEC HERCULE, UN PERSONNAGE FEMININ ET DEUX PUTTI",FARINATI Paolo,"Vérone, 1524 ; Vérone, 1606",,2e quart 16e siècle;2e moitié 16e siècle,1588 avant,,,,,,18.3 H ; 43 L,"plume;encre brune;lavis brun;gouache blanche;papier (bleu, vert);papier (collé en plein)",,,"ornementation (en frise, Hercule, femme, putti, volute, guirlande : fruit)",,,propriété privée personne morale ; Chambre de commerce et d'industrie de Lyon ; achat ; musée d'Art et d'Industrie,1850 après ; 1900 avant,1984,,000DE021794,Lyon;musée des arts décoratifs,M1037-38,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie,Attribution ; Lyon ; Musée des Arts Décoratifs,Lyon,"45.7579,4.8353"
170,dessin,,,PAYSAGE DE NEIGE,PILLEMENT Jean,"Lyon, 1728 ; Lyon, 1808",,1er quart 19e siècle,1801,,,,,,48 H ; 59.5 L,gouache;pastel;pierre noire;papier (blanc),,,"paysage (neige, maison, rocher, résineux, nappe d'eau : glace, personnage)",,,propriété privée personne morale ; achat ; Chambre de commerce et d'industrie de Lyon ; musée d'Art et d'Industrie,1850 après ; 1900 avant,1984,,000DE021869,Lyon;musée des arts décoratifs,M1037-38,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,Attribution ; Lyon ; Musée des Arts Décoratifs,Lyon,"45.7579,4.8353"
SN,sculpture,médaillon;relief,,UNE FAMILLE,anonyme,,,2e quart 19e siècle,1840 vers,,,,,,17.5 D ; 2.5 P,Bas-relief;fonte;bronze;patine (noire),,,"portrait collectif (famille, homme, femme, de profil : gauche, bijou)",,,propriété de la commune ; Propriété privée personne morale ; Poitiers ; musées de la ville et de la société des antiquaires de l'Ouest,,,,000SC023429,Poitiers;musée Sainte-Croix,M0852,,1989-09-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Poitiers,"46.579729,0.334224"
87.24.2058,Photographie;costume - accessoires du costume;ethnologie,carte postale,,Bressane allant au marché,FERRAND L (éditeur),,Ain : Bourg-en-Bresse (lieu d'exécution),,,,,correspondance,,,"14, 9",procédé photomécanique;colorisé;papier,,,"Bresse : Bourg-en-Bresse ; scène (femme, Bressan, costume traditionnel, chapeau, préhension : panier)",,,propriété du département ; Ain ; achat ; musées des Pays de l'Ain,1987,,,0964-001705,Bourg-en-Bresse;musées des Pays de l'Ain,M0964,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Bourg-en-Bresse,"46.204452,5.227117"
88.76.139,photographie;ethnologie,carte postale,,"Eglise de Nantua. Maître Autel. Anges adorateurs, marbre blanc, de Clémens Jayet (1781)",VIALATTE F (photographe),,Ain : Oyonnax (lieu d'exécution),,,,,correspondance,,,"L. 13.8, l. 8.9",procédé photomécanique;monochrome;papier,,,"vue d'architecture (Nantua, église, intérieur, autel, 18e siècle) ; représentation d'objet (statue, ange, cierge)",,,propriété du département ; Ain ; achat en vente publique ; musées des Pays de l'Ain,1988,,,0964-004319,Bourg-en-Bresse;musées des Pays de l'Ain,M0964,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Bourg-en-Bresse,"46.204452,5.227117"
7492.26 ; D 07.1.24 (26),costume - accessoires du costume;Asie orientale;ethnologie,bouton,Netsuké,Netsuké en bois représentant Okame à genoux,Masa (?),,Japon (lieu d'exécution),4e quart 18e siècle;1er quart 19e siècle,,,,accessoire du vêtement : suspension d'objet,,,"H. 3.4, l. 4.0, P. 2.6",bois,,,"figure (homme, agenouillé)",,,"propriété de l'Etat, don ; musée du Louvre",date d'acquisition inconnue,1907 déposé,,0650-100022,Saint-Omer;musée de l'hôtel Sandelin,M0650,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,Dépôt ; Saint-Omer ; musée de l'hôtel Sandelin,Saint-Omer,"50.747829,2.260325"
87.13.782,photographie;commerce - économie - finances;ethnologie,plaque de verre photographique,,Volailles de Bresse au marché de Bourg. Chargement des camions de volailles,TOURNASSOUD Jean-Baptiste (photographe),,,2e quart 20e siècle,1930 vers,,,,,,"13, 18",noir et blanc;verre,,,"Bresse ; Bourg-en-Bresse ; scène (marché, personnage, volaille, transport : camion, magasin)",,,propriété du département ; Ain ; achat ; Bourg-en-Bresse ; musées des Pays de l'Ain,1987,,,0964-002239,Bourg-en-Bresse;musées des Pays de l'Ain,M0964,1999-03-01,1999-12-16,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Bourg-en-Bresse,"46.204452,5.227117"
MA 81 47,sculpture;médiéval,ensemble;relief (3);colonne,,TROIS FRAGMENTS DE COLONNE,anonyme,,,,,,moyen âge,décor d'architecture,,,113 H ; 20 D,taille directe;calcaire,,France (lieu de provenance),,,,propriété de la commune ; Angers ; musée archéologique,,,,000SC019215,Angers;musée des Beaux-Arts,M0748,,1995-09-04,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Angers,"47.47207,-0.556585"
2370,sculpture,buste,,Bonaparte,CORBET Charles Louis,"Douai, 1758 ; Paris, 1808",,1er quart 19e siècle,,,,,,,83 H ; 62 L ; 43 P,moulage;plâtre,,,"portrait (Napoléon Bonaparte, homme, en buste)",,,propriété de la commune ; mode d'acquisition inconnu ; Douai ; musée de la Chartreuse,1947,,,000SC019429,Douai;musée de la Chartreuse,M0619,,2002-07-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Douai,"50.370351,3.078607"
2051 ; 902.2 (Autre N° 1 :),sculpture,groupe relié,,Le Baiser,RODIN Auguste,"Paris, 1840 ; Meudon, 1917",,4e quart 19e siècle,1886 après,,,,,,185 H ; 115 L ; 110 P,moulage;plâtre,,,"scène (couple, nu, assis, étreinte, baiser)",,,propriété de la commune ; achat ; Douai ; musée de la Chartreuse,1902,,,000SC019505,Douai;musée de la Chartreuse,M0619,,2002-07-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Douai,"50.370351,3.078607"
662,sculpture,,,Combat d'Hercule et des amazones,CALOT Emile Emmanuel,"Douai, 1843 ; ?, 1906",,3e quart 19e siècle,1867,,,,,,30.7 H ; 22.3 L ; 17 P,"haut-relief;modelage, terre crue",,,"scène mythologique (combat, Hercule, amazone, cavalier, massue, casque)",,,propriété de la commune ; don ; Douai ; musée de la Chartreuse,1869 avant,,,000SC019507,Douai;musée de la Chartreuse,M0619,,2002-07-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Douai,"50.370351,3.078607"
M 1421,sculpture,,,CENOTAPHE DE MADAME THEODORE REINACH (?-1914),anonyme,,,1er quart 20e siècle,1914 après,,,,,,38 H ; 182 L ; 55 P,Haut-relief;taille;marbre,,La Motte-Servolex (lieu de provenance),"portrait (Kann Fanny, Reinach Théodore Mme, femme, couché, robe, bijou, lit)",,,don ; Chambéry ; musée des Beaux-Arts,1935 vers,,,000SC020150,Chambéry;musée des beaux-arts,M1048,,1995-09-04,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Chambéry,"45.566108,5.919778"
MM 34,sculpture,statue,,LE FAUNE,DESPIAU Charles ; SUSSE (fondeur),"Despiau : Mont-de-Marsan, 1874 ; Paris, 1946 ; Fonderie Susse : fonctionne encore de nos jours",,4e quart 20e siècle,1978,,,,,,100 H ; 40 L ; 40 P,fonte;bronze;patine,,,,,,propriété de la commune ; achat après commande ; Mont-de-Marsan ; musée de la ville,1978,,,000SC020273,Mont-de-Marsan;musée de la ville,M0081,,1995-09-04,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mont-de-Marsan,"43.889563,-0.501576"
MM 518,sculpture,buste;buste en Hermès,,ANATOLE FRANCE,BOURDELLE Emile Antoine,"Montauban, 1861 ; Le Vésinet, 1929",,1er quart 20e siècle,1920,,,,,,63 H ; 30 L ; 35 P,moulage;plâtre;teinture,,,"portrait (France Anatole, homme, barbe, moustache, draperie, homme de lettres)",,,propriété de la commune ; achat en vente publique ; Mont-de-Marsan ; musée de la ville,1976,,,000SC020493,Mont-de-Marsan;musée de la ville,M0081,,2014-04-08,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mont-de-Marsan,"43.889563,-0.501576"
MM 84 1 39,sculpture,torse,,TORSE DE FEMME,DRIVIER Léon,"Grenoble, 1878 ; Paris, 1951",,1ère moitié 20e siècle,,,,,,,38.5 H ; 7.5 L ; 8.5 P,modelage;terre crue,,,"figure (femme, nu, à mi-corps)",,,propriété de la commune ; don ; Mont-de-Marsan ; musée de la ville,1984,,,000SC020554,Mont-de-Marsan;musée de la ville,M0081,,1989-04-18,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mont-de-Marsan,"43.889563,-0.501576"
MM 84 1 42,sculpture,figurine,,FEMME ACCROUPIE,DRIVIER Léon,"Grenoble, 1878 ; Paris, 1951",,1ère moitié 20e siècle,,,,,,,18 H ; 17 L ; 11 P,modelage;terre crue,,,"figure (femme, nu, accroupi)",,,propriété de la commune ; Mont-de-Marsan ; musée de la ville,1984,,,000SC020602,Mont-de-Marsan;musée de la ville,M0081,,1995-09-04,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mont-de-Marsan,"43.889563,-0.501576"
MBA 956 73,sculpture,médaillon;relief,,GUILLAUME XAVIER LABBEY DE POMPIERES (1751-1831),"DAVID Pierre Jean, DAVID D'ANGERS (dit)","Angers, 1788 ; Paris, 1856",,2e quart 19e siècle,1829,,,,,,11.6 D ; 0.2 PDS,Bas-relief;fonte à la cire perdue;bronze,,,"portrait (Labbey de Pompières Guillaume Xavier, homme, en buste, de profil : gauche, officier, parlementaire, homme politique)",,,propriété de la commune ; legs ; Angers ; musée David d'Angers,1956,,,000SC017596,Angers;musée David d'Angers,M0748-1,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Angers,"47.47207,-0.556585"
MBA 546,sculpture,médaillon;relief,,PIERRE LOUIS DULONG (1785-1838),"DAVID Pierre Jean, DAVID D'ANGERS (dit)","Angers, 1788 ; Paris, 1856",,2e quart 19e siècle,1836,,,,,,67 H ; 58 L,Bas-relief;moulage;plâtre,,,"portrait (Dulong Pierre Louis, homme, tête, de profil : droit, savant : chimie, Académie des Sciences)",,,propriété de la commune ; don ; Angers ; musée David d'Angers,1904,,,000SC017697,Angers;musée David d'Angers,M0748-1,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Angers,"47.47207,-0.556585"
MBA 985 8 MS,sculpture,statuette,,FEMME AUX BAGUETTES,anonyme,,,19e siècle,,,,,,,59 H ; 29 L ; 15 P,moulage;plâtre,,,figure (femme),,,propriété de la commune ; achat ; Angers ; musée des Beaux-Arts,1934,,,000SC017726,Angers;musée des beaux-arts,M0748,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Angers,"47.47207,-0.556585"
MBA 231 9,sculpture,médaillon;relief,,CHARLES FREDERIC REINHARD (1751-1837),"DAVID Pierre Jean, DAVID D'ANGERS (dit)","Angers, 1788 ; Paris, 1856",,2e quart 19e siècle,1831,,,,,,15.8 D ; 0.45 PDS,Bas-relief;fonte à la cire perdue;bronze,,,"portrait (Reinhard Charles Frédéric, Reinhard comte, homme, en buste, de profil : droit, ambassadeur, ministre, homme politique)",,,propriété de la commune ; don ; Angers ; musée David d'Angers,1896,,,000SC017843,Angers;musée David d'Angers,M0748-1,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Angers,"47.47207,-0.556585"
MBA 848 6,sculpture,statuette,,HENRI II PLANTAGENET (1133-1189),"DAVID Pierre Jean, DAVID D'ANGERS (dit)","Angers, 1788 ; Paris, 1856",,2e quart 19e siècle,1846,,,,,,75 H,plâtre,,,"portrait (rétrospectif, Anjou comte d', Aquitaine duc d', Normandie duc de, Henri II Plantagenet, homme, en pied, couronne, manteau, livre) ; épée ; instrument d'écriture",,,propriété de la commune ; don ; Angers ; musée archéologique,1847,1876,,000SC017876,Angers;musée David d'Angers,M0748-1,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Angers ; Musée David d'Angers,Angers,"47.47207,-0.556585"
MBA 837 3,sculpture,statue,,FRANCOIS JOSEPH TALMA (1763-1826),"DAVID Pierre Jean, DAVID D'ANGERS (dit)","Angers, 1788 ; Paris, 1856",,2e quart 19e siècle,1837,,,,,,170 H,revers travaillé;plâtre,,,"portrait (Talma François Joseph, homme, assis, à l'antique, draperie, tabouret, feuillet, homme de lettres : tragédie)",,,propriété de la commune ; don ; Angers ; musée David d'Angers,1837,,,000SC017986,Angers;musée David d'Angers,M0748-1,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Angers,"47.47207,-0.556585"
MBA 486,sculpture,médaillon;relief,,MEDAILLE DE FRANCOIS IER (1494-1547),CELLINI Benvenuto,"Florence, 1500 ; Florence, 1571",,1ère moitié 16e siècle,,,,,,,4.2 D,Bas-relief;fonte;bronze;dorure (?),,,,,,propriété de l'Etat ; mode d'acquisition inconnu ; musées nationaux,,1903,,000SC018070,Angers;musée des beaux-arts,M0748,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie ; Florence,en dépôt ; Angers ; Musée des Beaux-Arts,Angers,"47.47207,-0.556585"
878.6,sculpture;croyances - coutumes,fragment;statue;élément d'ensemble,,FRAGMENT D'UNE STATUE D'HOMME EN ARMURE,anonyme,,,15e siècle,,,,décor d'architecture,,,68 H ; 35 L ; 23 P,taille directe;pierre;traces de peinture,,Bourg-en-Bresse (lieu de provenance) ; porte de ville,"figure (saint Maurice d'Agaune, ?, saint Georges, ?, torse, armure)",,,propriété de la commune ; legs ; Bourg-en-Bresse ; musée de Brou,1878,,,000SC021502,Bourg-en-Bresse;musée de Brou,M0963,1999-09-10,1999-09-14,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Bresse,,Bourg-en-Bresse,"46.204452,5.227117"
928.8,sculpture,relief;bénitier (?),,"COQUILLE, PIERRE AYANT SERVI DE BENITIER (?)",anonyme,,,,,,,,,,8.5 H ; 25 L ; 37 P,taille;pierre,,France (lieu de provenance),coquillage,,,propriété de la commune ; Bourg-en-Bresse ; musée de Brou,,,,000SC021505,Bourg-en-Bresse;musée de Brou,M0963,1999-09-10,1999-09-14,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France (?) ; Bresse (?),,Bourg-en-Bresse,"46.204452,5.227117"
940.46,sculpture,,,BAPTEME DU CHRIST,anonyme,,,17e siècle (?),,,,,,,29 H ; 23 H ; 5 P,Haut-relief;taille;bois;traces de peinture,,,"scène biblique (Baptême du Christ, saint Jean-Baptiste, Jourdain, feuillu)",Nouveau Testament,,propriété privée,,1933,,000SC021538,Bourg-en-Bresse;musée de Brou,M0963,1999-09-10,1999-09-14,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,en dépôt ; Bourg-en-Bresse ; Musée de Brou,Bourg-en-Bresse,"46.204452,5.227117"
